,sphere,clear_position,ide,pib
214,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",начальник управління,1,1
215,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",провідний спеціаліст,2,2
216,"Національна комісія, що здійснює державне регулювання у сфері зв'язку та інформатизації",головний спеціаліст,14,14
217,"Національна комісія, що здійснює державне регулювання у сфері зв'язку та інформатизації",заступник директора департаменту,1,1
218,"Національна комісія, що здійснює державне регулювання у сфері зв'язку та інформатизації",заступник начальника відділу,3,3
219,"Національна комісія, що здійснює державне регулювання у сфері зв'язку та інформатизації",начальник управління,1,1
221,"Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг",головний спеціаліст,16,16
222,"Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг",директор департаменту,1,1
223,"Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг",заступник директора департаменту,1,1
224,"Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг",заступник начальника відділу,4,4
225,"Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг",начальник відділу,5,5
227,Одеська обласна державна адміністрація,головний спеціаліст,2,2
228,Одеська обласна державна адміністрація,заступник начальника відділу,1,1
229,Одеська обласна державна адміністрація,начальник управління,1,1
231,Пенсійний фонд України,головний редактор,1,1
232,Пенсійний фонд України,головний спеціаліст,700,700
233,Пенсійний фонд України,завідувач сектору,1,1
234,Пенсійний фонд України,заступник начальника відділу,67,67
235,Пенсійний фонд України,заступник начальника управління,1,1
236,Пенсійний фонд України,начальник відділу,50,50
237,Пенсійний фонд України,начальник управління,1,1
238,Пенсійний фонд України,провідний спеціаліст,101,101
239,Пенсійний фонд України,спеціаліст,11,11
241,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,головний державний інспектор,15,15
242,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,головний спеціаліст,12,12
243,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,головний інспектор,71,71
244,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,завідувач сектору,14,14
245,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,заступник директора департаменту,1,1
246,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,заступник начальника відділу,1,1
247,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,заступник начальника управління,1,1
248,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,начальник відділу,7,7
249,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,провідний спеціаліст,2,2
250,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,спеціаліст,1,1
