,pib,clear_position,sphere,viol_sum,insp_count,short_name
5867,Назаренко Назарій Григорович,головний державний інспектор,Державна служба України з питань праці,29.0,69,Держпраці
5868,Назаренко Олександр Миколайович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,8,Держпродспоживслужба
5869,Назаренко Олександр Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,70.0,9,ДСНС
5870,Назаренко С. І.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,18,Держпродспоживслужба
5871,Назаренко Сергій Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,456.0,31,ДСНС
5872,Назарець Олег Степанович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,12,Держпродспоживслужба
5873,Назаркевич Валентина Андріївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
5874,"Назаркевич Олександра Євгенівна, Шпитальна Ольга Петрівна",головний спеціаліст,Державна служба України з лікарських засобів та контролю за наркотиками,0.0,1,Держлікслужба
5875,Назаркевич Олександра Євгеніївна,головний спеціаліст,Державна служба України з лікарських засобів та контролю за наркотиками,139.0,49,Держлікслужба
5876,Назаров Віктор Анатолійович,головний державний інспектор,Державна служба України з питань праці,66.0,44,Держпраці
5877,Назаров Максим Георгійович,головний спеціаліст,Пенсійний фонд України,2.0,2,ПФУ
5878,Назарова Алла Павлівна,державний інспектор,Державна екологічна інспекція України,90.0,43,Держекоінспекція
5879,Назарчук Сергій Іванович,завідувач сектору,Державна екологічна інспекція України,49.0,30,Держекоінспекція
5880,Назарчук Тетяна Володимирівна,головний спеціаліст,Відділи праці органів місцевого самоврядування,0.0,1,ВП ОМС
5881,Назарчук Юрій Вікторович,фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,3,Держпродспоживслужба
5882,Назарчук Юрій Вікторович,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,6.0,78,Держпродспоживслужба
5883,Назарько Олег Ігорович,провідний інспектор,Державна служба України з надзвичайних ситуацій,316.0,16,ДСНС
5884,Найбов Володимир Павлович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,8,Держпродспоживслужба
5885,Найда Анатолій Миколайович,головний державний інспектор,Державна служба України з надзвичайних ситуацій,134.0,9,ДСНС
5886,Найдьонов Артур Олегович,фахівець,Державна служба України з надзвичайних ситуацій,110.0,12,ДСНС
5887,Найдьонов Юрій Леонідович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,11,Держпродспоживслужба
5888,Найдюк Ігор Станіславович,головний спеціаліст,Державна екологічна інспекція України,0.0,4,Держекоінспекція
5889,Найдіна Любов Іванівна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
5890,Найко Сергій Семенович,завідувач сектору,Державна служба України з питань праці,149.0,3,Держпраці
5891,Найчук Людмила Миколаївна,провідний спеціаліст,Пенсійний фонд України,30.0,37,ПФУ
5892,Накашідзе Андріан Валеріанович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
5893,Наконечна Альона Олегівна,головний спеціаліст,Державна служба України з питань якості освіти,11.0,2,ДСЯО
5894,Наконечна Анна Олексівна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,25.0,9,Держпродспоживслужба
5895,Наконечна Тетяна Вікторівна,заступник начальника відділу,Пенсійний фонд України,46.0,45,ПФУ
5896,Наконечний Руслан,начальник відділу,"Державна служба України з питань геодезії, картографії та кадастру",9.0,1,Держгеокадастр
5897,Наконечний Юрій Миколайович,начальник управління,Державна служба України з питань праці,862.0,11,Держпраці
5898,Наливайко Зоя Сергіївна,заступник начальника державної служби,Державна служба України з лікарських засобів та контролю за наркотиками,7.0,11,Держлікслужба
5899,Наливайко Микола Сергійович,головний державний інспектор,Державна служба України з питань праці,2042.0,36,Держпраці
5900,Налімов Тімур Олександрович,головний спеціаліст,Державна екологічна інспекція України,49.0,11,Держекоінспекція
5901,Наместник Наталія Іванівна,головний спеціаліст,Пенсійний фонд України,85.0,96,ПФУ
5902,Нарожний Сергій Сергійович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,6.0,6,Держпродспоживслужба
5903,Нарівончик Ангеліна Володимирівна,головний державний інспектор,Державна служба України з питань праці,38.0,46,Держпраці
5904,Насадюк Р.М.,спеціаліст,Пенсійний фонд України,11.0,18,ПФУ
5905,Настасяк Ярослав Богданович,головний спеціаліст,Пенсійний фонд України,9.0,9,ПФУ
5906,Насібян Артур Арамович,головний державний інспектор,Державна служба України з питань праці,45.0,6,Держпраці
5907,Наталушко Ігор Миколайович,головний спеціаліст,Міністерство внутрішніх справ України,11.0,6,МВС
5908,Натяглий Олексій Миколайович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,6,Держпродспоживслужба
5909,Науменко В.О.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
5910,Науменко Василь Олександрович,головний спеціаліст,Державна екологічна інспекція України,7.0,11,Держекоінспекція
5911,Науменко Василь Олександрович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,105.0,382,Держпродспоживслужба
5912,Науменко Олександр Сергійович,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,7,Держпродспоживслужба
5913,Науменко Ігор Петрович,державний інспектор,Державна служба України з надзвичайних ситуацій,15.0,1,ДСНС
5914,Наумик Ю.І.,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,5,Держпродспоживслужба
5915,Наумов Віктор Олександрович,головний спеціаліст,Державна екологічна інспекція України,0.0,34,Держекоінспекція
5916,Наумов Роман Євгенович,провідний інспектор,Державна служба України з надзвичайних ситуацій,7.0,24,ДСНС
5917,Наумова Тетятна Іванівна,начальник відділу,Державна служба України з надзвичайних ситуацій,218.0,4,ДСНС
5918,Наумович Віктор Федорович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
5919,Наумук Аліна Сергіївна,державний інспектор,Державна екологічна інспекція України,262.0,31,Держекоінспекція
5920,Нашиванько Валентина Миколаївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,30.0,94,Держпродспоживслужба
5921,Нашко В.,державний інспектор,Державна екологічна інспекція України,2.0,2,Держекоінспекція
5922,Наімова Фаріштамо Інатулоєвна,головний державний інспектор,Державна служба України з питань праці,919.0,40,Держпраці
5923,Неберя Світлана Володимирівна,помічник лікаря,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,31,Держпродспоживслужба
5924,Небилович А.М.,начальник відділу,Державна екологічна інспекція України,23.0,8,Держекоінспекція
5925,Неборак Віталій Сергійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,104.0,10,ДСНС
5926,Неборачко Ірина Віталіївна,головний спеціаліст,Пенсійний фонд України,122.0,220,ПФУ
5927,Невлад Мар'Яна Сергіївна,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,1,Держпродспоживслужба
5928,Невмержицька Вікторія Григорівна,головний державний інспектор,Державна служба України з питань праці,1.0,4,Держпраці
5929,Невмержицький Леонід Михайлович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
5930,Невмержицький Сергій Вікторович,головний державний інспектор,Державна служба України з питань праці,9.0,27,Держпраці
5931,Невмиваний Анатолій Васильович,головний інспектор,Державна служба України з надзвичайних ситуацій,501.0,29,ДСНС
5932,Невмиваний Ярослав Васильович,заступник начальника відділу,Державна служба України з надзвичайних ситуацій,357.0,15,ДСНС
5933,Невінчана Анжела Григорівна,головний спеціаліст,Пенсійний фонд України,20.0,20,ПФУ
5934,Невінчаний Ігор Сергійович,директор департаменту,"Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг",0.0,2,Нацкомфінпослуг
5935,Невірко Леонід Олександрович,головний державний інспектор,Державна служба України з питань праці,61.0,20,Держпраці
5936,Невірковець Олександр Вікторович,головний державний інспектор,Державна служба України з питань праці,2243.0,45,Держпраці
5937,Негода Юлія Сергіївна,провідний інспектор,Державна служба України з надзвичайних ситуацій,218.0,28,ДСНС
5938,Негрич В.В.,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,47.0,55,Держпродспоживслужба
5939,Недбайлюк Альвіна Миколаївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,15.0,64,Держпродспоживслужба
5940,Недзвецький Д.В.,державний інспектор,Державна екологічна інспекція України,21.0,7,Держекоінспекція
5941,Недзвецький Дмитро Віталійович,державний інспектор,Державна екологічна інспекція України,3.0,6,Держекоінспекція
5942,Недопрядко Євген Вікторович,провідний фахівець,Державна служба України з надзвичайних ситуацій,582.0,14,ДСНС
5943,Недосека-Балабай Інна Віталіївна,головний спеціаліст,Державна екологічна інспекція України,1.0,2,Держекоінспекція
5944,Недялков Денис Петрович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,29.0,48,Держпродспоживслужба
5945,Неділько Станіслав Геннадійович,головний інспектор,Державна служба України з надзвичайних ситуацій,1506.0,41,ДСНС
5946,Нежвицький Віталій Юрійович,заступник начальника відділу,Державна екологічна інспекція України,0.0,6,Держекоінспекція
5947,Нежвицький Віталій Юрійович,старший державний інспектор,Державна азовська морська екологічна інспекція,6.0,2,ДАМЕІ
5948,Нежвицький Віталій Юрійович,старший державний інспектор,Державна екологічна інспекція України,1.0,1,Держекоінспекція
5949,Нежувака Вікторія Вікторівна,фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,5,Держпродспоживслужба
5950,Нездоймінов Віктор Олександрович,головний інспектор,Державна служба України з надзвичайних ситуацій,5.0,3,ДСНС
5951,Нейковська Катерина Сергіївна,головний спеціаліст,Державна екологічна інспекція України,0.0,5,Держекоінспекція
5952,Нек Микола Олексійович,головний державний інспектор,Державна служба України з питань праці,0.0,1,Держпраці
5953,Неклеса Олексій Вікторович,головний інспектор,Державна служба України з надзвичайних ситуацій,291.0,13,ДСНС
5954,Некоз Ірина Валеріївна,державний інспектор,Державна екологічна інспекція України,1.0,3,Держекоінспекція
5955,Некрасова Ірина Костянтинівна,головний спеціаліст,Пенсійний фонд України,3.0,3,ПФУ
5956,Нелень Олег Анатолійович,начальник управління,Державна служба України з питань праці,59.0,1,Держпраці
5957,Нелеп Микола Володимирович,провідний фахівець,Державна служба України з надзвичайних ситуацій,378.0,21,ДСНС
5958,Нелєпа Ірина Вікторівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,6,Держпродспоживслужба
5959,Немикін Яків Юрійович,заступник начальника відділу,Державна служба України з надзвичайних ситуацій,106.0,2,ДСНС
5960,Немикіна Наталія Миколаївна,головний спеціаліст,Пенсійний фонд України,30.0,25,ПФУ
5961,Немировський Віталій Іванович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",4.0,2,Держгеокадастр
5962,Немченко Олександр Сергійович,фахівець,Державна служба України з надзвичайних ситуацій,63.0,3,ДСНС
5963,Немченков Дмитро Олексійович,головний державний інспектор,Державна служба України з питань праці,408.0,22,Держпраці
5964,Немшилова Анна Євгеніївна,головний спеціаліст,Пенсійний фонд України,9.0,10,ПФУ
5965,Ненько Юрій Дмитрович,головний державний інспектор,Державна служба України з надзвичайних ситуацій,197.0,2,ДСНС
5966,Непомняща Валентина Анатоліївна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
5967,Непран Гліб Віталійович,головний інспектор,Державна служба України з надзвичайних ситуацій,202.0,15,ДСНС
5968,Нерубайло Анатолій Михайлович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",15.0,9,Держгеокадастр
5969,Несвадба П.В.,провідний інспектор,Державна служба України з надзвичайних ситуацій,395.0,29,ДСНС
5970,Несен Лариса Георгіївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,65.0,47,Держпродспоживслужба
5971,Нестеренко Андрій Сергійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,1024.0,96,ДСНС
5972,Нестеренко Вадим Сергійович,державний інспектор,Державна служба України з надзвичайних ситуацій,738.0,29,ДСНС
5973,Нестеренко Дмитро Миколайович,заступник начальника відділу,Державна служба України з надзвичайних ситуацій,307.0,16,ДСНС
5974,Нестеренко Костянтин Юрійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,0.0,2,ДСНС
5975,Нестеренко Михайло Миколайович,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,11,Держпродспоживслужба
5976,Нестеренко Олександр Олександрович,державний інспектор,Державна екологічна інспекція України,41.0,13,Держекоінспекція
5977,Нестеренко Юрій Віталійович,головний державний інспектор,Державна служба України з питань праці,146.0,25,Держпраці
5978,Нестеренко Інна Іванівна,головний інспектор,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,2.0,5,УДАБК ОМС
5979,Нестеренко Ірина Віталіївна,головний спеціаліст,Державна служба України з лікарських засобів та контролю за наркотиками,37.0,7,Держлікслужба
5980,Нестерець Ірина Володимирівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,25,Держпродспоживслужба
5981,Нестерко Володимир Олександрович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,6,Держпродспоживслужба
5982,Нестеров С.В.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,5,Держпродспоживслужба
5983,Нестерович Марина Леонідівна,головний спеціаліст,Пенсійний фонд України,5.0,5,ПФУ
5984,Нестерук Олена Віталіївна,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,11,Держпродспоживслужба
5985,Нестерук Руслан Анатолійович,головний спеціаліст,"Національна комісія, що здійснює державне регулювання у сфері ринків фінансових послуг",0.0,2,Нацкомфінпослуг
5986,Нестерук Ігор Васильович,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",9.0,6,Держгеокадастр
5987,Нестерчук Тетяна Олегівна,провідний інспектор,Державна служба України з надзвичайних ситуацій,55.0,12,ДСНС
5988,Нетреба Микола Павлович,головний інспектор,Державна служба України з надзвичайних ситуацій,541.0,47,ДСНС
5989,Нефьодов Павло Валерійович,головний державний інспектор,Державна служба України з питань праці,1137.0,39,Держпраці
5990,Нефьодов Євген Валерійович,головний державний інспектор,Державна служба України з питань праці,823.0,24,Держпраці
5991,Нефьодова Юлія Олександрівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
5992,Нех Любов Валентинівна,старший державний інспектор,Державна екологічна інспекція України,127.0,54,Держекоінспекція
5993,Нехаєва Олена Володимирівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,25.0,57,Держпродспоживслужба
5994,Нецька Світлана Денисівна,заступник начальник сектору,Державна служба України з лікарських засобів та контролю за наркотиками,0.0,6,Держлікслужба
5995,Нечай Леся Іванівна,головний спеціаліст,Пенсійний фонд України,4.0,11,ПФУ
5996,Нечасна Тетяна Іванівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,16.0,47,Держпродспоживслужба
5997,Нечвоглод Ігор Анатолійович,головний інспектор,Державна служба України з надзвичайних ситуацій,377.0,12,ДСНС
5998,Нечволод Юлія Володимирівна,головний державний інспектор,Державна служба України з питань праці,19.0,47,Держпраці
5999,Нечепуренко Михайло Валерійович,головний спеціаліст,Пенсійний фонд України,7.0,12,ПФУ
6000,Нечепурний Тарас Вікторович,заступник начальника відділу,Державна екологічна інспекція України,27.0,11,Держекоінспекція
6001,Нечипоренко Андрій Сергійович,державний інспектор,Державна служба України з надзвичайних ситуацій,503.0,30,ДСНС
6002,Нечипоренко Галина Дмитрівна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,11.0,54,Держпродспоживслужба
6003,Нечипоренко Ольга Анатоліївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,11.0,68,Держпродспоживслужба
6004,Нечипорук Марко Анатолійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,707.0,35,ДСНС
6005,Нечипорук Іван Степанович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
6006,Нечитайло Богдан Віталійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,117.0,8,ДСНС
6007,Нечиталюк Тетяна Володимирівна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,12.0,16,Держпродспоживслужба
6008,Неїжко Валентина Володимирівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,11.0,13,Держпродспоживслужба
6009,Николайчук О.Ф.,головний спеціаліст,Державна екологічна інспекція України,184.0,30,Держекоінспекція
6010,Ниміжан Тоадер Дмитрович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,3,Держпродспоживслужба
6011,Нирян Юрій Іванович,головний державний інспектор,Державна служба України з питань праці,364.0,24,Держпраці
6012,Ничипорук Тетяна Іванівна,головний спеціаліст,Державна служба України з питань якості освіти,2.0,1,ДСЯО
6013,Ничкало Лариса Іванівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,1,Держпродспоживслужба
6014,Нишенко Євгеній Васильович,провідний фахівець,Державна служба України з надзвичайних ситуацій,60.0,14,ДСНС
6015,Новак В.В.,головний державний інспектор,Державна служба України з питань праці,55.0,19,Держпраці
6016,Новак Вікторія Володимирівна,головний державний інспектор,Державна служба України з питань праці,38.0,38,Держпраці
6017,Новак С. А.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,10.0,24,Держпродспоживслужба
6018,Новгородська Г,головний спеціаліст,Державна екологічна інспекція України,64.0,9,Держекоінспекція
6019,Новгородська Олена Миколаївнна,помічник лікаря,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,7.0,11,Держпродспоживслужба
6020,Новикова Світлана Григорівна,головний спеціаліст,Пенсійний фонд України,8.0,8,ПФУ
6021,Новомлинець Тетяна Петрівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,5,Держпродспоживслужба
6022,Новосел Вікторія В'Ячеславівна,заступник начальника відділу,Державна служба України з питань якості освіти,33.0,3,ДСЯО
6023,Новоселецький Олександр Володимирович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",1.0,2,Держгеокадастр
6024,Новосельська Наталія Миколаївна,головний спеціаліст,Державна служба України з лікарських засобів та контролю за наркотиками,33.0,11,Держлікслужба
6025,Новоселюк Олександр В’Ячеславович,провідний інспектор,Державна служба України з надзвичайних ситуацій,634.0,40,ДСНС
6026,Новохацька Ірина Миколаївна,державний інспектор,Державна служба України з надзвичайних ситуацій,1676.0,28,ДСНС
6027,Новік Сергій Вікторович,старший державний інспектор,Державна екологічна інспекція України,33.0,7,Держекоінспекція
6028,Новік Юрій Федорович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",10.0,14,Держгеокадастр
6029,Новіков Юрій Романович,провідний лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,13,Держпродспоживслужба
6030,Новікова Віра Юріївна,державний інспектор,Державна екологічна інспекція України,65.0,54,Держекоінспекція
6031,Новікова Наталя Володимирівна,головний державний інспектор,Державна служба України з питань праці,167.0,13,Держпраці
6032,Новікова Інна Володимирівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
6033,Новіцька Горбонос Руслана Олександрівна,фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,94,Держпродспоживслужба
6034,Новічіхін Володимир Вікторович,головний спеціаліст,Відділи праці органів місцевого самоврядування,0.0,1,ВП ОМС
6035,Ногачевський Олексій Миколайович,провідний інспектор,Державна служба України з надзвичайних ситуацій,1188.0,58,ДСНС
6036,Нонік Тетяна Василівна,головний спеціаліст,Державна служба України з питань якості освіти,8.0,1,ДСЯО
6037,Норенко Олек Володимирович,головний державний інспектор,Державна екологічна інспекція України,14.0,2,Держекоінспекція
6038,Нос Микола В’Ячеславович,начальник управління,Державна служба України з питань праці,401.0,4,Держпраці
6039,Носаль Владислав Григорович,старший державний інспектор,Державна екологічна інспекція України,167.0,63,Держекоінспекція
6040,Носаль Дмитро Григорович,головний інспектор,Державна служба України з надзвичайних ситуацій,388.0,26,ДСНС
6041,Носанчук Інна Олександрівна,головний спеціаліст,Пенсійний фонд України,5.0,5,ПФУ
6042,Носаньов А.Г.,провідний фахівець,Державна служба України з надзвичайних ситуацій,14.0,13,ДСНС
6043,Носатов Віталій Олегович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,5,Держпродспоживслужба
6044,Носенко Артем Валерійович,головний державний інспектор,Державна служба України з питань праці,199.0,70,Держпраці
6045,Носенко Валерій Анатолійович,головний державний інспектор,Державна служба України з питань праці,297.0,59,Держпраці
6046,Носенко Людмила Анатоліївна,провідний спеціаліст,Пенсійний фонд України,24.0,24,ПФУ
6047,Носенко Ірина Іванівна,завідувач сектору,Державна служба України з лікарських засобів та контролю за наркотиками,7.0,5,Держлікслужба
6048,Носик Олександр Миколайович,провідний інспектор,Державна служба України з надзвичайних ситуацій,756.0,81,ДСНС
6049,Носко Роман Олександрович,головний інспектор,Державна служба України з надзвичайних ситуацій,332.0,6,ДСНС
6050,Носкова О.О.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
6051,Носкова Олена Олександрівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,38.0,179,Держпродспоживслужба
6052,Носов Микола Олексійович,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,26.0,144,Держпродспоживслужба
6053,Носова Вікторія Олександрівна,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,18.0,15,Держпродспоживслужба
6054,Носова Світлана Анатоліївна,начальник відділу,Державна служба України з питань якості освіти,2.0,4,ДСЯО
6055,Ночовний Андрій Іванович,державний інспектор,Державна служба України з надзвичайних ситуацій,554.0,21,ДСНС
6056,Нуцковський Михайло Іванович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,27,Держпродспоживслужба
6057,Нюня Тетяна Любомирівна,методист,Державна служба України з питань якості освіти,6.0,1,ДСЯО
6058,Няттієва Світлана Миколаївна,головний спеціаліст,Пенсійний фонд України,6.0,6,ПФУ
6059,Нєгодов Сергій Станіславович,головний державний інспектор,Державна служба України з питань праці,24.0,54,Держпраці
6060,Нідзвецький Степан Ярославович,заступник начальника відділу,Державна служба України з питань праці,0.0,17,Держпраці
6061,Ніживенко О.О.,головний спеціаліст,Державна екологічна інспекція України,19.0,3,Держекоінспекція
